day,language,part,time_seconds,timestamp
01,rust,1,0.000046,2026-01-05T18:12:17.848067606+00:00
01,rust,2,0.000073,2026-01-05T18:12:17.848301687+00:00
02,rust,1,0.003828,2026-01-05T18:12:18.032750597+00:00
02,rust,2,0.022786,2026-01-05T18:12:18.055892422+00:00
03,rust,1,0.000097,2026-01-05T18:12:18.239950953+00:00
03,rust,2,0.000304,2026-01-05T18:12:18.240512646+00:00
04,rust,1,0.003488,2026-01-06T08:35:37.868112787+00:00
04,rust,1,0.004330,2026-01-06T08:52:23.076837641+00:00
04,rust,2,0.007955,2026-01-06T08:52:23.085026680+00:00
04,rust,1,0.003208,2026-01-06T08:59:02.154588843+00:00
04,rust,2,0.008132,2026-01-06T08:59:02.162944104+00:00
04,rust,1,0.003259,2026-01-06T09:00:06.114303384+00:00
04,rust,2,0.008439,2026-01-06T09:00:06.123004326+00:00
04,rust,1,0.003118,2026-01-06T09:00:48.777603954+00:00
04,rust,2,0.007992,2026-01-06T09:00:48.785934875+00:00
04,rust,1,0.004481,2026-01-06T09:07:47.177704619+00:00
04,rust,2,0.008205,2026-01-06T09:07:47.186238954+00:00
04,rust,1,0.005457,2026-01-06T09:11:58.827708465+00:00
04,rust,2,0.008310,2026-01-06T09:11:58.836308163+00:00
04,rust,1,0.004633,2026-01-06T09:12:11.791734551+00:00
04,rust,2,0.009241,2026-01-06T09:12:11.801264169+00:00
04,rust,1,0.003805,2026-01-06T09:12:18.284378859+00:00
04,rust,2,0.008284,2026-01-06T09:12:18.292927746+00:00
04,rust,1,0.004453,2026-01-06T09:12:25.189335065+00:00
04,rust,2,0.008166,2026-01-06T09:12:25.197787042+00:00
04,rust,1,0.006336,2026-01-06T09:14:25.230696817+00:00
04,rust,2,0.008722,2026-01-06T09:14:25.239679607+00:00
04,rust,1,0.006959,2026-01-06T09:14:32.821780720+00:00
04,rust,2,0.010481,2026-01-06T09:14:32.832606551+00:00
04,rust,1,0.007359,2026-01-06T09:14:40.434243239+00:00
04,rust,2,0.010462,2026-01-06T09:14:40.444921274+00:00
04,rust,1,0.003979,2026-01-06T09:15:08.006348796+00:00
04,rust,2,0.008461,2026-01-06T09:15:08.015119596+00:00
01,python,1,0.001909,2026-01-06T09:15:46.654415
01,python,2,0.002522,2026-01-06T09:15:46.657559
02,python,1,0.599348,2026-01-06T09:15:47.351415
01,python,1,0.001929,2026-01-06T09:15:50.035430
01,python,2,0.002899,2026-01-06T09:15:50.038911
02,python,1,0.608876,2026-01-06T09:15:50.739668
02,python,2,1.278360,2026-01-06T09:15:52.018666
03,python,1,0.006765,2026-01-06T09:15:52.116324
03,python,2,0.008136,2026-01-06T09:15:52.125029
04,python,1,0.064793,2026-01-06T09:15:52.285983
04,python,2,0.395699,2026-01-06T09:15:52.682232
05,python,1,0.005449,2026-01-06T09:15:52.769794
